aX,aY,aZ,gX,gY,gZ
0.619,-1.245,-0.353,29.480,-38.452,165.100
0.634,-1.220,-0.274,47.729,-52.185,162.903
0.693,-1.351,-0.172,56.030,-53.772,158.630
0.876,-1.495,-0.077,84.290,-42.969,164.856
0.844,-1.492,-0.198,97.351,-36.560,168.701
0.848,-1.426,-0.395,106.873,-32.043,185.608
0.768,-1.255,-0.643,119.019,-42.786,201.843
0.469,-0.772,-0.670,100.037,-85.693,219.849
0.412,-0.616,-0.536,85.754,-106.079,220.398
0.409,-0.412,-0.130,67.383,-145.386,210.693
0.433,-0.309,0.067,56.702,-154.358,201.660
0.549,-0.105,0.362,30.334,-148.499,179.382
0.564,0.053,0.458,21.118,-142.578,169.312
0.518,0.406,0.530,13.123,-111.633,171.753
0.539,0.392,0.491,16.907,-92.285,172.363
0.551,0.107,0.240,33.752,-76.355,166.931
0.483,0.086,0.163,47.058,-71.411,178.711
0.503,0.286,0.172,51.636,-57.617,190.247
0.164,0.745,0.381,69.824,-70.984,175.476
-0.037,0.957,0.449,91.492,-80.627,154.602
-0.087,1.227,0.547,114.075,-34.363,110.474
-0.090,1.326,0.607,117.310,-24.658,89.722
-0.018,1.452,0.753,110.596,-16.479,56.580
0.063,1.435,0.741,98.145,-8.789,41.321
0.224,1.276,0.553,43.091,-0.610,13.367
0.344,1.121,0.381,8.301,-0.122,5.371
0.502,0.725,0.102,-53.650,-18.921,-0.488
0.595,0.564,0.049,-73.730,-32.593,-2.625
0.767,0.303,0.004,-75.989,-47.180,-10.864
0.843,0.198,-0.019,-64.697,-50.293,-16.724
0.952,0.062,0.011,-42.297,-45.166,-21.667
1.003,0.035,0.053,-31.494,-37.842,-18.921
1.031,0.022,0.122,-5.737,-24.780,-17.029
1.038,0.031,0.162,4.395,-19.104,-14.526
1.033,0.102,0.257,15.747,-10.376,-10.193
1.027,0.104,0.306,17.822,-7.935,-8.179
1.075,0.079,0.358,17.944,-5.066,-3.723
1.079,0.063,0.381,16.357,-3.967,-1.343
